x,y,label
-2.8766,-1.5063,0
3.0104,-1.1046,0
3.3845,-3.5389,0
-4.3259,-0.20679,0
1.1961,-4.8057,0
-2.3816,0.40747,0
0.73696,-1.3648,0
-1.3638,2.7847,0
3.4969,-0.52805,0
-0.66577,3.7166,0
4.4328,2.1831,0
0.026987,-3.5101,0
1.5458,-2.7627,0
4.4054,-2.3383,0
-1.1885,2.2611,0
1.359,-3.8453,0
-4.7687,-1.1687,0
-3.9877,0.93633,0
1.1761,-2.469,0
3.4788,-1.0844,0
0.16971,0.088189,0
-1.2069,-4.5429,0
0.30069,3.1653,0
-2.2088,1.6283,0
-0.55395,4.8433,0
1.6816,-2.9476,0
2.6805,-0.077937,0
-0.85679,-1.1754,0
-1.0884,-3.6565,0
1.7819,-0.80721,0
-0.51611,-1.2494,0
-3.4637,-1.5864,0
-1.9624,1.8233,0
-1.9952,-2.2511,0
-2.7794,3.2242,0
-3.8736,2.5403,0
-2.0012,2.1663,0
-4.8071,0.96722,0
-4.8814,-0.10472,0
1.9203,-1.2096,0
1.1848,4.2193,0
-2.0728,3.3304,0
-4.2825,-2.1525,0
-3.8681,0.31831,0
-0.32134,4.1773,0
-3.7838,-2.0676,0
2.2394,-2.1477,0
2.3259,0.93698,0
-0.89325,0.34799,0
2.9653,1.735,0
-3.703,-1.554,0
-2.5607,-0.64567,0
0.40737,-3.575,0
0.26281,2.4643,0
-2.3266,-1.4229,0
-3.8994,1.028,0
3.0315,-3.6187,0
-2.4655,-3.9305,0
-1.3913,1.8199,0
-1.8112,2.5879,0
-0.11005,4.7101,0
2.4206,-0.74421,0
-1.4663,4.6926,0
2.1413,3.3006,0
-1.3087,1.5559,0
-0.23893,-4.5385,0
-1.1076,-3.8943,0
-1.1224,-3.5216,0
2.5047,0.098029,0
-0.70557,0.71139,0
1.9674,-1.4013,0
-1.251,2.7318,0
-3.2618,-2.2797,0
-1.4687,4.7429,0
1.609,1.6093,0
-3.3233,2.8076,0
1.9422,-4.2879,0
3.4119,-0.40545,0
1.2896,-1.5198,0
3.8924,2.2632,0
-1.8073,2.9405,0
0.14841,1.6986,0
-1.9337,4.2608,0
3.9659,-0.38876,0
-1.4884,-0.46558,0
-0.02242,-4.7656,0
0.51049,-0.78409,0
0.49722,0.86401,0
4.078,-2.8433,0
3.2707,2.5411,0
-0.094598,-3.0673,0
-0.45893,-3.521,0
-0.88678,-4.278,0
0.73914,0.82192,0
-4.0153,1.4232,0
-4.1809,-0.23107,0
-3.3251,-0.64492,0
2.4268,-2.9441,0
-1.2772,-2.6165,0
0.70983,-1.9395,0
-3.0984,-0.61617,0
4.6123,-1.3119,0
2.1716,0.96704,0
-2.9026,-0.77483,0
-0.56292,2.7923,0
-1.4351,0.17306,0
-1.4246,-3.2844,0
1.1831,4.407,0
-3.699,-2.9888,0
-1.9589,3.7753,0
2.2669,-2.1062,0
1.8256,2.0292,0
3.3269,2.4949,0
4.5377,-1.192,0
2.7545,3.9404,0
0.81924,1.1663,0
1.9425,2.8798,0
1.5145,0.95541,0
-2.4121,0.71025,0
-2.2932,-4.1037,0
1.083,-1.9324,0
0.43566,-1.6864,0
-0.85591,-3.5861,0
-2.7631,0.48049,0
-0.79509,-2.9864,0
4.2949,-1.1587,0
-4.5773,-0.16618,0
-1.3982,3.8796,0
0.79918,-3.128,0
0.34249,3.9944,0
0.2278,2.3022,0
-3.8321,0.86418,0
-3.0058,-2.8009,0
-2.9023,-2.5694,0
2.1114,2.0493,0
2.1504,2.118,0
-0.4448,2.0222,0
-0.3992,-4.4412,0
-2.9785,1.8561,0
1.4177,-2.6183,0
4.0411,-1.7453,0
-1.96,1.4417,0
4.3507,1.4808,0
-4.0736,-1.9541,0
-0.067335,-4.599,0
-1.2995,2.7506,0
-3.0922,0.13737,0
0.82214,4.567,0
3.1606,-1.2681,0
-3.7534,0.41903,0
-4.0383,-1.0368,0
0.88642,4.8205,0
3.0442,2.0954,0
3.7076,1.4724,0
1.598,-3.4233,0
0.64773,-4.7706,0
1.555,4.3791,0
1.6291,-1.2617,0
-0.84795,-1.9361,0
-1.3631,-2.0566,0
4.3273,-0.26185,0
2.1814,0.46881,0
-4.4063,2.2712,0
-4.2037,0.26491,0
